extracted_term,normalized_term,normalized_id
abnormal bladder function,Abnormality of bladder function,HP:0012211
abnormal cognition,Cognitive impairment,HP:0100543
abnormal eye movements,Abnormal eye movement,HP:0000496
abnormal eye movements or nystagmus,Nystagmus,HP:0000639
abnormal eye signs,Abnormality of the eye,HP:0000478
abnormal gait,Abnormal gait,HP:0001288
abnormal hand posturing,Abnormal hand posture,HP:0001181
abnormal horizontal pursuit,Abnormal smooth pursuit,HP:0007772
abnormal ocular movements,Abnormal eye movement,HP:0000496
abnormal postures,Abnormality of posture,HP:0003803
