extracted_term,matched_hp_term,matched_hp_id,similarity
abnormal bladder function,Poor bladder function,HP:0000009,0.9590262141122551
abnormal cognition,Abnormality of cognition,HP:0100543,0.9643354944403211
abnormal eye movements,Abnormal eye movement,HP:0000496,0.9907733619327036
abnormal eye movements or nystagmus,Downbeat nystagmus,HP:0010545,0.9519904932227125
abnormal eye signs,Abnormal eye structure,HP:0012372,0.9745849843461993
abnormal gait,Abnormal gait,HP:0001288,0.9999999999997388
abnormal hand posturing,Abnormal posturing,HP:0002533,0.9451765559695827
abnormal horizontal pursuit,Abnormal visual pursuit,HP:0007772,0.9663340713924367
abnormal ocular movements,Abnormal ocular movements,HP:0000496,0.9956138589879221
abnormal postures,Abnormal postural reaction,HP:0033329,0.915919918905031
abnormal posturing,Abnormal posturing,HP:0002533,0.9999999999997884
abnormal saccadic movements,Abnormality of saccadic eye movements,HP:0000570,0.9718543258775465
abnormal saccadic pursuit,Abnormality of saccadic eye movements,HP:0000570,0.9730273421629599
abnormal shuffling gait,Scissoring gait,HP:0012407,0.9233824324932918
abnormal smooth pursuit,Abnormal smooth pursuits,HP:0000617,0.9999999999997229
abnormal spastic gait,Abnormal gait,HP:0001288,0.9528031118008652
abnormal speech,Abnormal speech,HP:0002167,0.9999999999995329
abnormal steppage gait,Abnormal gait,HP:0001288,0.9612250544518262
abnormal tongue shape,Abnormal tongue morphology,HP:0030809,0.9918804282436616
abnormal trunk posture,Abnormal head movements,HP:0002457,0.9439324747349246
abnormal writing,Abnormal gestures,HP:4000090,0.9861559530135257
abolished deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9584932599263493
abolished reflexes in all 4 limbs,EMG: impaired neuromuscular transmission,HP:0100285,0.8825024805304402
abolished tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9480607504429527
abolition of upgaze,Transient decreased IgG2 in blood,HP:0041062,0.8809756297955971
absence of distal deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9630179844101421
absence of speech,Abnormal speech discrimination,HP:0001963,0.9376185900020134
absence seizures,Partial seizure with behavior arrest,HP:0011173,0.9528959950275792
absent Achilles reflexes,Absent cremasteric reflex,HP:0031829,0.9247607540982797
absent Achilles tendon reflex,Tight achilles tendon,HP:0001771,0.9569121289812138
absent Achilles tendon reflexes,Achilles tendon contractures,HP:0001771,0.9390164006779987
absent ankle jerk reflexes,Absent knee jerk reflex,HP:0006844,0.965490575029583
absent ankle jerks,Absent knee jerk reflex,HP:0006844,0.9649215845679562
absent ankle reflexes,Absent ankle reflexes,HP:0003438,0.9620834876904361
absent corneal reflex,Absent corneal reflex,HP:0034252,0.999999999999757
absent deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9722992143386527
absent deep tendon reflexes in all extremities,Deep tendon reflexes absent,HP:0001284,0.9199634711398188
